label,period_start,period_label,year,quarter,trend_mean,trend_max,trend_min,trend_sum,n_points
blazer,2020-01-01,2020Q1,2020,1,60.0,69.0,46.0,180.0,3
blazer,2020-04-01,2020Q2,2020,2,41.66666666666666,47.0,36.0,125.0,3
blazer,2020-07-01,2020Q3,2020,3,55.0,56.0,53.0,165.0,3
blazer,2020-10-01,2020Q4,2020,4,63.66666666666666,64.0,63.0,191.0,3
blazer,2021-01-01,2021Q1,2021,1,63.66666666666666,66.0,62.0,191.0,3
blazer,2021-04-01,2021Q2,2021,2,66.33333333333333,71.0,62.0,199.0,3
blazer,2021-07-01,2021Q3,2021,3,71.33333333333333,75.0,66.0,214.0,3
blazer,2021-10-01,2021Q4,2021,4,89.0,93.0,83.0,267.0,3
blazer,2022-01-01,2022Q1,2022,1,89.0,93.0,83.0,267.0,3
blazer,2022-04-01,2022Q2,2022,2,92.33333333333331,100.0,84.0,277.0,3
blazer,2022-07-01,2022Q3,2022,3,83.33333333333333,89.0,77.0,250.0,3
blazer,2022-10-01,2022Q4,2022,4,92.0,95.0,90.0,276.0,3
blazer,2023-01-01,2023Q1,2023,1,85.66666666666667,89.0,82.0,257.0,3
blazer,2023-04-01,2023Q2,2023,2,78.33333333333333,85.0,70.0,235.0,3
blazer,2023-07-01,2023Q3,2023,3,72.0,78.0,68.0,216.0,3
blazer,2023-10-01,2023Q4,2023,4,83.33333333333333,85.0,81.0,250.0,3
blazer,2024-01-01,2024Q1,2024,1,74.0,75.0,73.0,222.0,3
blazer,2024-04-01,2024Q2,2024,2,66.0,73.0,60.0,198.0,3
blazer,2024-07-01,2024Q3,2024,3,61.0,67.0,57.0,183.0,3
blazer,2024-10-01,2024Q4,2024,4,78.66666666666667,85.0,74.0,236.0,3
blazer,2025-01-01,2025Q1,2025,1,71.33333333333333,72.0,71.0,214.0,3
blazer,2025-04-01,2025Q2,2025,2,67.0,72.0,59.0,201.0,3
blazer,2025-07-01,2025Q3,2025,3,69.33333333333333,77.0,58.0,208.0,3
blazer,2025-10-01,2025Q4,2025,4,80.0,80.0,80.0,80.0,1
boots,2020-01-01,2020Q1,2020,1,0.0,0.0,0.0,0.0,3
boots,2020-04-01,2020Q2,2020,2,0.0,0.0,0.0,0.0,3
boots,2020-07-01,2020Q3,2020,3,0.0,0.0,0.0,0.0,3
boots,2020-10-01,2020Q4,2020,4,1.0,1.0,1.0,3.0,3
boots,2021-01-01,2021Q1,2021,1,0.0,0.0,0.0,0.0,3
boots,2021-04-01,2021Q2,2021,2,0.0,0.0,0.0,0.0,3
boots,2021-07-01,2021Q3,2021,3,0.0,0.0,0.0,0.0,3
boots,2021-10-01,2021Q4,2021,4,0.6666666666666666,1.0,0.0,2.0,3
boots,2022-01-01,2022Q1,2022,1,0.0,0.0,0.0,0.0,3
boots,2022-04-01,2022Q2,2022,2,0.0,0.0,0.0,0.0,3
boots,2022-07-01,2022Q3,2022,3,0.0,0.0,0.0,0.0,3
boots,2022-10-01,2022Q4,2022,4,0.0,0.0,0.0,0.0,3
boots,2023-01-01,2023Q1,2023,1,0.0,0.0,0.0,0.0,3
boots,2023-04-01,2023Q2,2023,2,0.0,0.0,0.0,0.0,3
